studyName,meanExp,sdExp,nExp,meanCtl,sdCtl,nCtl
Arici 2009,35.73,5.24,27,62.93,8.67,27
Arslan 2011,4.25,2.03,20,11.25,5.03,20
Arslan 2013,5.15,4.29,100,9.1,4.68,100
Atef 2008,1.8,,38,8.2,,38
Aydogan 2008,0.27,0.08,40,0.35,0.09,40
Cakan 2008,11,2,20,12,2,20
Cobby 1999,35,20.4,24,54.9,28.3,21
Dahl 1997,21.2,7.88,22,18.7,5.9,21
Dilmen 2010,18.1,13.93,20,30,11.32,19
Durmus 2007,30.5,11.55,25,42.74,12.33,25
Emir 2010,7.65,0.78,30,13.8,2.26,30
Fayaz 2004,12,6,17,22,13,17
Jokela 2010,38.85,16.8,40,45.15,18.9,40
Khalili 2013,3,2.28,25,4.2,1.57,25
Kilieaslan 2010,20.56,0.4,25,28.6,0.35,25
Koppert 2006,17,22,25,38,22,25
Kvalsvik 2003,16,5,30,20,6,30
Montgomery 1996,27.1,27,19,34.5,15.1,20
Moon 2011,8.7,5.4,36,12.6,6.9,35
Munishankar 2008,33.8,23.8,25,44.1,24.4,25
Sinatra 2005,38.3,35.1,49,57.4,52.3,52
Syal 2010,9.53,1.88,30,10.19,2.08,30
Toygar 2008,16.5,11.1,30,34.3,11.8,30
Witjes 1992,7.25,,32,11.25,,32
Yalcin 2012,48.53,12.4,26,73.03,22.41,27
